term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
strong_military,-2.52,2.42,0,20,1,1,0,0,2,73,20,53,61,7,8,19,42,3,3,0,0,0.043,0,2,1,1,1,0.111,0,3,3,0,0.06,0,0,0.03,1.15,2.43,2.07,2.033,1.61,15
secondamendment_rights,-2.68,1.66,0,36,1,1,0,0,2,252,36,216,200,10,49,32,168,5,4,1,0.25,0.02,0,3,2,1,0.5,0.091,0,5,4,1,0.024,0.25,0,0.35,7.03,1.86,1.85,0.631,1.29,22
sanctuary_cities,-8.21,-3.88,0,14,1,1,0,0,2,145,14,131,113,5,20,9,104,6,3,3,1,0.043,0,3,2,1,0.5,0.273,0,6,3,3,0.048,1,0,0.11,3.09,-3.95,-3.33,0.753,0.93,16
rural_broadband,-2.17,2.08,0,81,1,1,0,0,2,121,81,40,80,12,16,53,27,5,5,0,0,0.043,0,5,3,2,0.667,0.066,0,5,3,2,0.143,0.667,0,0.13,2.64,2.13,2.43,-0.593,-0.85,15
balance_budget,-2.78,1.26,0,26,1,1,0,0,2,114,26,88,95,7,24,20,75,4,3,1,0.333,0.036,0,4,3,1,0.333,0.182,0,3,3,0,0.035,0,0,0.13,3.21,1.61,1.74,0.339,0.45,14
congress_needs,-2.27,0.77,0,90,1,1,0,0,2,129,90,39,91,18,6,55,36,6,6,0,0,0.049,0,6,6,0,0,0.071,0,2,2,0,0.054,0,0,-0.01,-0.28,1.17,1.99,2.405,1.39,14
securing_borders,-2.03,3.84,0,12,1,1,1,1,2,58,12,46,56,6,16,12,44,2,2,0,0,0.036,0,1,1,0,0,0.091,0,2,2,0,0.045,0,0,0.08,3.11,3.7,2.45,2.093,2.09,16
protect_nation,-2.48,1.72,0,29,1,1,0,0,2,61,29,32,56,12,10,27,29,3,2,1,0.5,0.052,0,2,2,0,0,0.074,0,3,2,1,0.103,0.5,0,0.03,1.02,1.85,2.03,0.344,0.3,14
broadband_access,-2.6,1.53,0,76,1,1,0,0,2,90,76,14,60,10,6,51,9,5,4,1,0.25,0.059,0,5,4,1,0.25,0.07,0,3,2,1,0.273,0.5,0,0.04,1.04,2.08,2.08,-1.189,-1.06,16
veterans_access,-1.29,1.85,0,73,1,1,0,0,2,97,73,24,77,30,10,56,21,3,3,0,0,0.032,0,3,3,0,0,0.043,0,2,2,0,0.091,0,0,-0.03,-0.73,2.05,3.79,1.6,1.35,15
