term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
sponsored,-2.57,1.21,0,105,1,0,1,0,1,323,217,105,193,53,32,117,75,20,16,4,0.25,0.066,0,20,16,4,0.25,0.102,0,7,5,2,0.071,0.4,0,-0.02,-0.11,-0.39,-1.44,0.917,1.67,9
foundation,-3.59,1.84,0,226,1,1,1,0,1,577,349,226,392,65,28,232,158,13,9,4,0.444,0.023,0,9,7,2,0.286,0.026,0,13,9,4,0.061,0.444,0,-0.07,-0.81,0.6,1.91,1.479,2.27,10
siblings,-0.76,-2.92,0,37,1,0,1,0,1,92,54,37,80,8,6,49,30,3,2,1,0.5,0.034,0,2,2,0,0,0.038,0,3,2,1,0.088,0.5,0,0,-0.22,-0.96,-0.93,-2.859,-2.45,8
treated,-0.31,-2.72,0,89,1,0,1,0,1,378,289,89,271,35,10,198,73,6,4,2,0.5,0.016,0,4,4,0,0,0.014,0,6,3,3,0.072,1,0,-0.06,-1.28,0.24,0.54,-2.584,-2.67,7
backgrounds,-0.76,-3.84,0,35,1,1,1,0,1,125,88,35,107,15,3,72,33,4,3,1,0.333,0.033,0,4,3,1,0.333,0.048,0,3,1,2,0.094,2,0,-0.03,-0.91,1.24,1.66,-3.359,-1.85,11
firmly,-4.43,2.08,0,90,1,0,1,0,1,204,112,90,162,24,19,83,78,6,3,3,1,0.03,0,6,3,3,1,0.057,0,3,2,1,0.034,0.5,0,0.05,1.17,-0.28,-0.51,1.659,1.91,6
immigration,-1.37,1.34,0,1204,1,1,1,0,1,2695,1490,1204,869,109,80,442,426,31,24,7,0.292,0.012,0,31,20,11,0.55,0.021,0,24,16,8,0.02,0.5,0,-0.01,-0.05,-0.34,-2.18,1.142,4.02,11
reform,-0.65,0.71,0,783,1,0,1,0,1,2210,1420,783,843,145,89,514,325,25,23,2,0.087,0.011,0,16,14,2,0.143,0.011,0,25,23,2,0.033,0.087,0,-0.03,-0.13,-0.03,-0.24,0.659,2.4,6
centers,0,-1.92,0,89,1,0,1,0,1,641,551,89,341,83,22,273,67,12,11,1,0.091,0.019,0,12,11,1,0.091,0.022,0,5,3,2,0.06,0.667,0,-0.12,-1.03,0.17,0.72,-1.311,-2.03,7
brain,-0.18,-4.67,0,30,1,0,1,0,1,107,76,30,75,17,3,53,21,9,4,5,1.25,0.092,0,9,4,5,1.25,0.134,0,3,3,0,0.111,0,0,-0.02,-0.65,0.34,0.52,-3.733,-1.85,5
meaningful,-4.3,1.96,0,89,1,0,1,0,1,311,222,89,232,36,19,156,76,8,5,3,0.6,0.026,0,8,5,3,0.6,0.037,0,3,2,1,0.035,0.5,0,0.01,0.12,-0.17,-0.39,1.679,1.92,10
roles,-5.4,2.27,0,66,1,1,1,0,1,141,75,66,118,15,8,60,58,3,3,0,0,0.022,0,3,2,1,0.5,0.042,0,3,2,1,0.048,0.5,0,0.03,0.92,1.33,1.67,2.447,1.82,5
inspire,-1.23,-2.57,0,27,1,0,1,0,1,65,37,27,57,9,5,34,22,3,2,1,0.5,0.048,0,2,2,0,0,0.057,0,3,2,1,0.125,0.5,0,0.02,1.05,0.73,0.68,-2.466,-1.71,7
valued,-0.1,-4.37,0,25,1,0,1,0,1,71,46,25,61,8,4,40,21,4,2,2,1,0.06,0,2,2,0,0,0.045,0,4,2,2,0.19,1,0,-0.03,-1.01,0.74,0.79,-3.861,-2.78,6
period,-5.92,2.63,0,142,1,0,1,0,1,398,249,142,269,36,9,169,98,9,6,3,0.5,0.023,0,6,5,1,0.2,0.025,0,9,5,4,0.068,0.8,0,-0.03,-0.61,0.28,0.66,2.273,1.68,6
clean,-0.03,-1.74,0,219,1,1,1,0,1,1582,1360,219,587,140,22,450,134,34,22,12,0.545,0.022,0,34,22,12,0.545,0.026,0,11,6,5,0.053,0.833,0,-0.92,-5.1,0.32,2.17,-1.381,-2.28,5
residents,-0.17,-1.4,0,280,1,1,1,1,1,989,704,280,462,98,30,314,147,18,13,5,0.385,0.019,0,18,13,5,0.385,0.026,0,11,11,0,0.041,0,0,-0.44,-3.14,-0.94,-4.46,-1.451,-2.62,9
diversity,-0.59,-3.38,0,77,1,0,1,0,1,334,256,77,225,42,4,171,53,9,7,2,0.286,0.028,0,7,6,1,0.167,0.028,0,9,5,4,0.132,0.8,0,-0.15,-2.81,-0.47,-1.18,-2.806,-1.89,9
