term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
hash_protectthearctic,-2.47,-0.92,0,164,D,1,1,0,1,2,164,164,0,74,69,0,74,0,29,8,21,2.625,0.215,1,29,8,21,2.625,0.215,1,0,0,0,0,0,0,-0.4,-4.22,-0.82,-3.18,0,0,21
hash_protectx,-1.88,-0.83,0,321,D,1,1,0,1,2,322,321,0,130,103,0,129,0,68,14,54,3.857,0.268,1,68,14,54,3.857,0.269,1,0,0,0,0,0,0,-0.63,-4.77,-0.68,-3.39,0,0,13
hash_muslimban,-2.56,-1.11,0,166,D,1,1,0,1,2,167,166,1,67,58,0,66,1,18,15,3,0.2,0.121,0,18,15,3,0.2,0.122,0,1,0,1,0,0,0,-0.49,-3.48,-1.15,-4.54,0,0,14
hash_truthexposed,-2.17,-1.12,0,233,D,1,1,0,1,2,235,233,2,62,58,0,60,2,29,28,1,0.036,0.141,0,29,28,1,0.036,0.142,0,1,1,0,1,0,0,-0.73,-3.03,-1.46,-6.37,0,0,17
hash_latinaequalpayday,-2.21,-0.82,0,185,D,1,1,0,1,2,189,185,4,118,98,0,117,1,8,8,0,0,0.044,0,8,8,0,0,0.045,0,4,0,4,0,0,0,-0.49,-5.84,-0.79,-3.24,0,0,22
hash_gunviolence,-2,-1.21,0,482,D,1,1,0,1,2,486,482,4,124,72,1,120,4,71,25,46,1.84,0.171,1,71,25,46,1.84,0.173,1,1,1,0,0.333,0,0,-0.97,-3.8,-1.3,-7.01,-8.451,-1.79,16
hash_pride2019,-3.33,-1.34,0,131,D,1,1,0,1,2,131,131,0,76,47,0,76,0,8,7,1,0.143,0.065,0,8,7,1,0.143,0.065,0,0,0,0,0,0,0,-0.25,-3.29,-1.22,-3.75,0,0,14
hash_stonewall50,-2.61,-1,0,151,D,1,1,0,1,2,151,151,0,110,92,0,110,0,8,6,2,0.333,0.056,0,8,6,2,0.333,0.056,0,0,0,0,0,0,0,-0.38,-5.71,-0.92,-3.45,0,0,16
hash_riseupoct8,-4.66,-1.8,0,104,D,1,1,0,1,2,106,104,1,63,38,0,61,1,41,2,39,19.5,0.631,1,41,2,39,19.5,0.651,1,1,0,1,0,0,0,-0.12,-4.27,-1.78,-3.47,0,0,15
hash_transdayofremembrance,-2.97,-1,0,135,D,1,1,0,1,2,135,135,0,112,74,0,112,0,4,3,1,0.333,0.031,0,4,3,1,0.333,0.031,0,0,0,0,0,0,0,-0.29,-6.26,-1.05,-3.19,0,0,26
afro,-5.31,-2.42,0,102,D,1,1,0,1,1,108,102,6,60,27,0,55,5,16,6,10,1.667,0.174,0,16,6,10,1.667,0.186,0,2,1,1,0.5,1,0,-0.13,-3.3,-2.74,-4.96,0,0,4
hash_demsattheborder,-3.07,-1.36,0,123,D,1,1,0,1,2,124,123,1,38,36,0,37,1,14,14,0,0,0.127,0,14,14,0,0,0.128,0,1,0,1,0,0,0,-0.39,-3.29,-1.46,-4.98,0,0,20
hash_whatsatstake,-1.87,-1.01,0,307,D,1,1,0,1,2,307,307,0,43,37,0,43,0,45,23,22,0.957,0.172,1,45,23,22,0.957,0.172,1,0,0,0,0,0,0,-0.8,-3.16,-0.92,-5.01,0,0,17
thoughts_prayers_family,-2.25,0.95,0,175,R,1,0,1,1,3,302,125,175,200,57,61,95,103,12,9,3,0.333,0.041,0,3,3,0,0,0.025,0,12,9,3,0.074,0.333,0,0.33,3.32,0.18,0.51,0.924,3.01,23
chinese_communist_party,-0.1,0.95,0,1308,R,1,0,1,1,3,1451,123,1308,228,21,108,32,190,105,90,15,0.167,0.078,0,35,32,3,0.094,0.398,0,105,90,15,0.087,0.167,0,5.84,7.17,0.37,1.33,0.802,8.48,23
paid_sick_leave,-0.79,-1.49,0,59,R,1,1,1,1,3,999,939,59,386,171,33,343,42,32,24,8,0.333,0.033,0,32,24,8,0.333,0.035,0,5,3,2,0.093,0.667,0,-0.88,-6.05,-0.99,-6.38,-1.423,-3.04,15
legal_vote_counted,-3.43,1.8,0,163,R,1,0,1,1,3,165,0,163,64,0,46,0,62,49,7,42,6,0.422,1,0,0,0,0,0,0,49,7,42,0.43,6,1,0.5,6.56,0,0,1.767,5.12,18
right_keep_bear,-5.61,3.1,0,183,R,1,0,1,1,3,192,6,183,115,0,31,6,106,8,8,0,0,0.043,0,1,1,0,0,0.2,0,8,8,0,0.046,0,0,0.29,5.37,0,0,3.065,6.27,15
keep_bear_arms,-5.19,2.92,0,206,R,1,0,1,1,3,216,7,206,125,0,35,7,115,9,7,2,0.286,0.043,0,1,1,0,0,0.167,0,9,7,2,0.046,0.286,0,0.36,5.77,0,0,2.826,6.55,14
duly_elected_president,-3.48,2.26,0,273,R,1,0,1,1,3,282,6,273,121,3,58,6,113,23,19,4,0.211,0.089,0,1,1,0,0,0.2,0,23,19,4,0.092,0.211,0,0.85,6.19,1.08,0.6,2.163,8.05,22
trump_derangement_syndrome,-4.61,2.26,0,155,R,1,0,1,1,3,159,2,155,73,0,25,1,71,10,9,1,0.111,0.067,0,2,0,2,0,0,0,10,9,1,0.069,0.111,0,0.3,5.6,0,0,1.997,4.45,26
law_abiding_citizens,-3.57,1.9,0,393,R,1,0,1,1,3,413,17,393,197,6,51,15,180,27,10,17,1.7,0.07,0,2,2,0,0,0.133,0,27,10,17,0.074,1.7,0,0.51,7.72,2.12,1.77,1.739,5.19,20
restore_law_order,-3.84,1.76,0,137,R,1,0,1,1,3,142,2,137,83,1,36,2,78,8,7,1,0.143,0.06,0,1,1,0,0,1,0,8,7,1,0.062,0.143,0,0.35,6.29,4.38,1.16,1.548,3.83,17
obama_biden_administration,-4.58,2.14,0,139,R,1,0,1,1,3,183,44,139,73,10,24,19,54,25,17,8,0.471,0.158,0,17,8,9,1.125,0.63,0,25,17,8,0.219,0.471,0,0.21,3.89,-0.06,-0.07,2.01,4.07,26
big_tech_censorship,-6.64,3.62,0,116,R,1,0,1,1,3,117,1,116,48,1,18,1,47,17,9,8,0.889,0.17,0,1,0,1,0,0,0,17,9,8,0.172,0.889,0,0.24,4.84,-0.05,-0.02,3.102,5.62,19
climate_change,0.07,-0.81,0,758,R,1,1,1,1,2,9567,8623,758,931,257,69,677,227,252,149,103,0.691,0.027,1,252,149,103,0.691,0.03,1,39,29,10,0.054,0.345,0,-10.44,-7.7,-0.35,-7.86,-0.694,-3.21,14
paid_family,-0.2,-1.69,0,110,R,1,1,1,1,2,765,651,110,284,128,28,245,37,38,30,8,0.267,0.052,0,30,22,8,0.364,0.048,0,38,6,32,0.528,5.333,1,-0.67,-3.29,-0.93,-5.75,-1.512,-4.09,11
great_folks,-4.12,2.26,0,151,R,1,1,1,1,2,267,113,151,155,30,40,72,80,16,14,2,0.143,0.064,0,6,5,1,0.2,0.056,0,16,14,2,0.119,0.143,0,0.34,3.24,2.29,5.01,2.157,5.85,11
great_job,-0.61,0.57,0,1185,R,1,0,1,1,2,1898,684,1185,742,121,135,337,391,20,20,0,0,0.011,0,17,16,1,0.062,0.025,0,20,20,0,0.017,0,0,1.6,7.97,0.32,1.59,0.497,3.26,9
dc_swamp,-6.36,3.08,0,169,R,1,0,1,1,2,180,9,169,78,1,17,8,69,33,32,1,0.031,0.224,0,2,1,1,1,0.286,0,33,32,1,0.243,0.031,0,0.15,4.54,7.74,1.37,2.756,4.06,8
travel_restrictions,-3.38,1.47,0,107,R,1,0,1,1,2,183,73,107,125,41,46,55,68,7,6,1,0.167,0.04,0,6,3,3,1,0.09,0,7,6,1,0.07,0.167,0,0.2,3.05,0.1,0.26,1.382,3.52,19
god_bless,0.01,0.97,0,3656,R,1,1,1,1,2,4397,612,3656,764,86,171,214,527,182,113,69,0.611,0.043,1,83,19,64,3.368,0.157,1,182,113,69,0.052,0.611,1,5.41,9.38,0.95,4.4,0.92,9.61,9
great_president,-2.58,1.19,0,291,R,1,0,1,1,2,384,87,291,213,35,54,63,144,12,11,1,0.091,0.032,0,7,4,3,0.75,0.088,0,12,11,1,0.043,0.091,0,0.45,5.26,-0.03,-0.06,1.131,3.64,15
election_fraud,-4.37,2.37,0,369,R,1,1,1,1,2,537,149,369,231,27,41,76,142,43,30,13,0.433,0.087,0,43,7,36,5.143,0.406,1,30,13,17,0.088,1.308,0,0.25,3.14,1.66,3.34,2.576,6.07,14
