term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
corporate,-2.55,-0.93,0,908,D,1,1,0,1,1,1095,908,182,466,61,4,356,107,26,16,10,0.625,0.024,0,26,16,10,0.625,0.029,0,8,8,0,0.046,0,0,-0.22,-3.27,-0.65,-2.06,-0.514,-0.28,9
labor,-2.02,-1.15,0,982,D,1,1,0,1,1,1287,982,298,496,83,30,361,131,19,19,0,0,0.015,0,18,15,3,0.2,0.019,0,19,19,0,0.068,0,0,-0.26,-1.85,-0.9,-4.16,-0.441,-0.84,5
secondamendment,-1.97,2.1,0,152,D,1,1,1,1,1,846,152,693,484,14,78,110,373,10,9,1,0.111,0.012,0,7,4,3,0.75,0.048,0,10,9,1,0.015,0.111,0,0.79,9.21,2.22,2.72,1.225,3.7,15
church,-2.24,0.85,0,179,D,1,1,1,1,1,512,179,329,326,26,46,120,205,20,11,9,0.818,0.041,0,9,6,3,0.5,0.053,0,20,11,9,0.065,0.818,0,0.16,3.2,1.03,1.81,1.191,2.18,6
music,-4.91,-1.76,0,92,D,1,1,0,1,1,128,92,35,83,12,0,59,23,6,5,1,0.2,0.049,0,6,5,1,0.2,0.07,0,4,3,1,0.129,0.333,0,-0.07,-1.65,-1.57,-2.28,0,0,5
speaking,-4.95,-1.58,0,86,D,1,1,0,1,1,136,86,47,114,15,3,69,43,3,3,0,0,0.023,0,3,3,0,0,0.036,0,2,2,0,0.044,0,0,-0.04,-1.8,-1.42,-1.82,-2.578,-1.35,8
housing,-2.11,-1.8,0,1875,D,1,1,0,1,1,2106,1875,226,548,112,22,430,115,95,62,33,0.532,0.047,1,95,62,33,0.532,0.053,1,22,13,9,0.108,0.692,0,-0.67,-3.2,-1.55,-9.34,-0.326,-0.49,7
bold,-3.72,-1.88,0,270,D,1,1,0,1,1,323,270,51,212,49,7,169,41,11,7,4,0.571,0.035,0,11,7,4,0.571,0.042,0,2,2,0,0.041,0,0,-0.21,-3.35,-1.71,-4.75,-1.412,-1.22,4
workers,-0.18,-0.54,0,2930,D,1,1,1,1,1,3487,2930,545,826,148,60,572,250,67,48,19,0.396,0.02,0,67,48,19,0.396,0.023,0,22,15,7,0.042,0.467,0,-0.93,-2.87,-0.26,-2.22,-0.839,-2.78,7
usd15,-2.92,-1.03,0,316,D,1,1,0,1,1,336,316,17,241,56,3,224,14,7,5,2,0.4,0.021,0,7,5,2,0.4,0.023,0,3,2,1,0.214,0.5,0,-0.19,-3.62,-0.78,-2.14,-0.795,-0.38,5
